head_dim,sequence_length,batch_size,compile_attention,status,forward_s,backward_s,mem_before_backward_mb
16,1024,8,False,ok,0.001288325089999489,0.004108073029992738,82.34375
16,2048,8,False,ok,0.0071875206100003195,0.01827367188999915,276.4375
16,4096,8,False,ok,0.02780931391999957,0.07003521016001969,1048.625
16,8192,8,False,ok,0.10912099532999946,0.2760059681599978,4129.0
16,16384,8,False,oom,nan,nan,nan
16,32768,8,False,oom,nan,nan,nan
32,1024,8,False,ok,0.0013209589899997808,0.004114292719996229,84.34375
32,2048,8,False,ok,0.007231337139999141,0.01838940375999755,280.4375
32,4096,8,False,ok,0.028064267150000433,0.07040071725998814,1056.625
32,8192,8,False,ok,0.10929776634000063,0.2764664932700066,4145.0
32,16384,8,False,oom,nan,nan,nan
32,32768,8,False,oom,nan,nan,nan
64,1024,8,False,ok,0.0013301297100019838,0.004177933080006824,88.34375
64,2048,8,False,ok,0.007315524959999493,0.018517640890001984,288.4375
64,4096,8,False,ok,0.02829908598999964,0.07088442217000647,1072.625
64,8192,8,False,ok,0.11022274588000074,0.27907140548999904,4177.0
64,16384,8,False,oom,nan,nan,nan
64,32768,8,False,oom,nan,nan,nan
128,1024,8,False,ok,0.0014169201200002134,0.004344296079998458,96.34375
128,2048,8,False,ok,0.007622357129998818,0.018897103079991664,304.4375
128,4096,8,False,ok,0.029577042359999268,0.07224757287000784,1104.625
128,8192,8,False,ok,0.11678798000000143,0.28964188517998535,4241.0
128,16384,8,False,oom,nan,nan,nan
128,32768,8,False,oom,nan,nan,nan
